faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",6695.0,124429,113287,95345,17942,3852,109435,108658.66,90030.79,18627.87,3824.12,104834.54,2011977.231,1646307.073,365670.158,219877.747,1792099.484,1.4272,1.409438,1.513047,4.431756,1.317601,1424.34555430457,1406.61884245806,1510.0209359582,4422.89280832031,1314.96553007757
B Indústrias extrativas,1785.0,25965,23274,20893,2381,1986,21288,23981.54,21701.06,2280.48,1979.02,22002.52,851990.581,768573.435,83417.146,204265.922,647724.659,2.738318,2.729798,2.81939,7.95558,2.26905,2732.84105190909,2724.33850980268,2813.75128852765,7939.66874047217,2264.51214539202
C Indústrias de transformação,50775.0,940278,873105,641008,232097,54494,818611,873705.86,635358.78,238347.08,56361.53,817344.33,23125800.707,17930368.547,5195432.16,5404766.795,17721033.912,2.040129,2.175185,1.680111,7.391291,1.67113,2036.04877583436,2170.83506581903,1676.75067675387,7376.50826588769,1667.78725285735
D Eletricidade e gás,1215.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",2123.0,82176,79644,65078,14566,9424,70220,76446.3,62414.75,14031.55,9398.05,67048.25,3031666.898,2296429.329,735237.569,928710.229,2102956.669,3.056688,2.835907,4.038761,7.61673,2.417514,3050.57466483008,2830.23499930829,4030.68342962275,7601.49694719813,2412.67889341459
F Construção,37713.0,400615,340819,311319,29500,15289,325530,352869.11,322184.7,30684.41,15987.27,336881.84,7980690.766,7160449.37,820241.396,981452.497,6999238.269,1.743223,1.713016,2.060393,4.731742,1.601398,1739.73655470242,1709.59017511479,2056.27196351502,4722.27878324923,1598.19521221218
G Comércio; reparação de veículos automotores e motocicletas,317940.0,1828530,1429635,853507,576128,83911,1345724,1456765.32,870442.49,586322.83,87673.4,1369091.92,26901607.709,16575346.088,10326261.621,3145897.839,23755709.87,1.42336,1.467738,1.357477,2.765686,1.337401,1420.51324996798,1464.80282936768,1354.76187580825,2760.15463597327,1334.72579232832
"H Transporte, armazenagem e correio",21543.0,285265,256715,217386,39329,13661,243054,263300.01,223486.87,39813.14,13792.93,249507.08,6811466.177,5824118.882,987347.295,981760.456,5829705.721,1.993957,2.00865,1.911479,5.486244,1.800901,1989.96930038973,2004.63295570443,1907.65641501969,5475.27139461471,1797.29930555632
I Alojamento e alimentação,41926.0,356961,303521,151230,152291,10006,293515,303679.83,151295.74,152384.09,10276.35,293403.48,5121944.472,2677438.059,2444506.413,353447.987,4768496.485,1.300005,1.364014,1.236453,2.651018,1.252686,1297.40499596363,1361.28600692413,1233.98023275365,2645.71629929962,1250.18088375461
J Informação e comunicação,14262.0,110348,90380,61439,28941,21687,68693,86558.27,58586.7,27971.57,21030.98,65527.29,2519515.027,1748012.556,771502.471,1102692.054,1416822.973,2.243543,2.299702,2.125918,4.041298,1.666554,2239.0563978551,2295.10288696397,2121.6665322353,4033.21508043409,1663.22127068679
"K Atividades financeiras, de seguros e serviços relacionados",10025.0,73718,57117,23312,33805,22813,34304,57914.28,23667.29,34246.99,23062.91,34851.37,2976590.737,1589428.559,1387162.178,2054870.87,921719.867,3.961499,5.17629,3.121986,6.867466,2.038474,3953.57618588661,5165.93726225911,3115.74193595049,6853.73138081881,2034.3971623144
L Atividades imobiliárias,13613.0,48994,25811,16948,8863,2834,22977,25932.16,16996.89,8935.27,2845.03,23087.13,523556.381,336587.394,186968.987,112854.409,410701.972,1.556148,1.526351,1.612828,3.057439,1.371144,1553.03560402337,1523.29855638296,1609.60214623965,3051.32402281009,1368.40132942533
"M Atividades profissionais, científicas e técnicas",43593.0,201050,139240,75216,64024,34847,104393,137282.56,73526.12,63756.44,34787.05,102495.51,3620931.677,2007848.711,1613082.966,1394646.814,2226284.863,2.03297,2.104822,1.950108,3.090101,1.674179,2028.90451578902,2100.61269173668,1946.2081803332,3083.9212912232,1670.83106147021
N Atividades administrativas e serviços complementares,59507.0,776708,699896,464432,235464,43460,656436,694661.4,459583.13,235078.27,41917.89,652743.51,12888381.157,8940971.366,3947409.791,1383590.569,11504790.588,1.43005,1.499501,1.294273,2.544101,1.358508,1427.19018957127,1496.50190196025,1291.68428455765,2539.01243047374,1355.79117651375
"O Administração pública, defesa e seguridade social",5753.0,2111388,2111316,896558,1214758,821360,1289956,2158358.73,905673.29,1252685.44,833457.31,1324901.42,89963197.163,43008011.789,46955185.374,51839460.648,38123736.515,3.212679,3.660192,2.889134,4.794057,2.21788,3206.25382584821,3652.87199664886,2883.35540681429,4784.46918784229,2213.44401347118
P Educação,38098.0,700137,663254,243927,419327,443383,219871,670448.63,245974.18,424474.45,447670.92,222777.71,31270105.4,12849761.667,18420343.733,26245089.977,5025015.423,3.594926,4.026537,3.344816,4.518719,1.738568,3587.73605529916,4018.48358699212,3338.12675397324,4509.68107366421,1735.09121681463
Q Saúde humana e serviços sociais,44372.0,697479,613538,173718,439820,185218,428320,608562.81,172714.58,435848.23,183440.21,425122.6,18675738.443,6082266.192,12593472.251,9963411.814,8712326.629,2.365367,2.714329,2.227083,4.18639,1.579596,2360.63597912951,2708.90060441826,2222.62835549959,4178.01687745896,1576.43694186463
"R Artes, cultura, esporte e recreação",10045.0,49216,36808,22445,14363,9792,27016,36432.01,22238.34,14193.67,9227.7,27204.31,862052.162,592473.83,269578.332,250534.829,611517.333,1.823797,2.053492,1.463917,2.09267,1.732595,1820.14949955357,2049.38453139938,1460.98893163155,2088.48466281705,1729.13023142854
S Outras atividades de serviços,44613.0,178787,136260,68337,67923,21130,115130,137065.57,68251.5,68814.07,21489.86,115575.71,2887348.484,1465174.467,1422174.017,851461.099,2035887.385,1.623667,1.654639,1.592948,3.053918,1.35773,1620.41955203237,1651.32968844303,1589.76211271463,3047.80987942149,1355.01414547293
U Organismos internacionais e outras instituições extraterritoriais,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
