municipios_uf,posicao_municipio,val_add_adm_publica,partipacao_percentual,percentual_acumulado
Brasília (DF),1º,107219248.72685,9.693528717515077,9.693528717515077
Rio de Janeiro (RJ),2º,53688460.838327035,4.853891844190658,14.547420561705735
São Paulo (SP),3º,45546251.13056318,4.1177670852184,18.665187646924135
Belo Horizonte (MG),4º,12093863.846591972,1.0933877815290005,19.758575428453135
Manaus (AM),5º,9805697.3384874,0.886518138063448,20.645093566516582
Fortaleza (CE),6º,9708197.62377188,0.8777033375890277,21.52279690410561
Salvador (BA),7º,9142312.033036044,0.82654248457279,22.349339388678402
Curitiba (PR),8º,9126350.570571072,0.8250994331000837,23.174438821778487
Porto Alegre (RS),9º,7538417.708696602,0.6815368454039117,23.8559756671824
Recife (PE),10º,7463702.099004421,0.6747819211081547,24.530757588290555
Goiânia (GO),11º,7305851.433693673,0.6605108832540589,25.191268471544614
São Gonçalo (RJ),12º,6978435.43587425,0.6309097023548904,25.822178173899506
Duque de Caxias (RJ),13º,6553221.678936266,0.5924667752414808,26.414644949140985
Campo Grande (MS),14º,6302399.787033445,0.5697903506161273,26.984435299757113
Guarulhos (SP),15º,5570503.31433592,0.5036207070065577,27.48805600676367
Nova Iguaçu (RJ),16º,5538874.053393231,0.5007611537742569,27.988817160537927
Belém (PA),17º,5315746.979025147,0.4805885753545714,28.469405735892497
Campinas (SP),18º,4787233.18493565,0.4328064494635285,28.902212185356024
Macapá (AP),19º,4588850.131619835,0.41487094024088633,29.31708312559691
Natal (RN),20º,4527533.225215966,0.40932737227008925,29.726410497866997
Niterói (RJ),21º,4460080.649235349,0.40322908777264593,30.129639585639644
Teresina (PI),22º,4391931.064111234,0.3970677877418062,30.526707373381452
Boa Vista (RR),23º,4106945.142264585,0.3713026452854759,30.898010018666927
Campos dos Goytacazes (RJ),24º,3972577.451743067,0.3591546673594718,31.2571646860264
João Pessoa (PB),25º,3907338.4806972267,0.35325651150739096,31.61042119753379
Cuiabá (MT),26º,3900077.7290414697,0.35260007802626175,31.963021275560052
São Luís (MA),27º,3662147.194359228,0.3310891413418261,32.29411041690188
Maceió (AL),28º,3605519.6082360363,0.32596952766418186,32.620079944566065
Porto Velho (RO),29º,3532876.5918546272,0.3194019833679704,32.93948192793403
Belford Roxo (RJ),30º,3331307.8894420573,0.3011784644701067,33.24066039240414
São Bernardo do Campo (SP),31º,3236711.392392107,0.2926261394760556,33.533286531880194
Aracaju (SE),32º,3214563.5780289555,0.29062378936533667,33.82391032124553
Joinville (SC),33º,3134483.369508095,0.28338385987302006,34.10729418111855
São João de Meriti (RJ),34º,3125919.3642449607,0.2826096012213237,34.38990378233987
Uberlândia (MG),35º,3110543.337553248,0.28121947810381237,34.671123260443686
Macaé (RJ),36º,2977399.4783774586,0.26918214490285614,34.94030540534654
Ribeirão Preto (SP),37º,2961092.2285522325,0.2677078313223979,35.20801323666894
Contagem (MG),38º,2843742.31519631,0.2570984046698058,35.465111641338744
Caxias do Sul (RS),39º,2826463.866621005,0.2555362864918887,35.72064792783063
Osasco (SP),40º,2809642.880184525,0.2540155267680975,35.97466345459873
Londrina (PR),41º,2785947.421880438,0.25187325652956494,36.2265367111283
Jaboatão dos Guararapes (PE),42º,2782902.47957284,0.2515979679405069,36.4781346790688
Sorocaba (SP),43º,2755770.5179567076,0.24914500867981929,36.72727968774862
Florianópolis (SC),44º,2732420.129034818,0.2470339356377378,36.97431362338636
São José dos Campos (SP),45º,2722141.680252948,0.24610467676284684,37.220418300149205
Santo André (SP),46º,2649844.7217310593,0.23956841902981327,37.45998671917902
Rio Branco (AC),47º,2593469.6439964445,0.234471634250386,37.694458353429404
Juiz de Fora (MG),48º,2485951.4151907307,0.22475107520002635,37.91920942862943
Santos (SP),49º,2438241.5900087645,0.22043770268529062,38.13964713131472
Aparecida de Goiânia (GO),50º,2417607.284036426,0.21857218655937163,38.35821931787409
Serra (ES),51º,2282822.3254787195,0.20638648406674615,38.564605801940836
Petrópolis (RJ),52º,2254255.5612262413,0.20380380648845664,38.768409608429295
Palmas (TO),53º,2215204.5559557695,0.20027326467313838,38.96868287310243
Betim (MG),54º,2212076.6154608205,0.1999904723445733,39.168673345447004
Jundiaí (SP),55º,2100153.523073573,0.18987167629729987,39.358545021744305
Volta Redonda (RJ),56º,2084276.9942638935,0.1884363035468047,39.54698132529111
Feira de Santana (BA),57º,2052124.638296676,0.18552945809130264,39.73251078338241
Barueri (SP),58º,2018089.6297577964,0.18245240488872894,39.91496318827114
Maringá (PR),59º,2002304.549275285,0.18102529984199126,40.09598848811313
Vitória (ES),60º,2000330.0278624773,0.18084678637313492,40.27683527448627
Vila Velha (ES),61º,1958928.7327849711,0.17710375844166218,40.45393903292793
Cabo Frio (RJ),62º,1949925.1810084567,0.17628976106020675,40.63022879398813
Campina Grande (PB),63º,1927624.9168586102,0.17427362819683054,40.80450242218496
Blumenau (SC),64º,1851024.451677487,0.16734829699161116,40.97185071917657
Anápolis (GO),65º,1830090.875634163,0.16545572431510225,41.137306443491674
Canoas (RS),66º,1827831.6203133897,0.16525146848798017,41.302557911979655
Angra dos Reis (RJ),67º,1752834.8528187335,0.1584711251441996,41.46102903712386
Piracicaba (SP),68º,1744193.8013682605,0.15768990086423773,41.61871893798809
Pelotas (RS),69º,1743402.2598636015,0.1576183388042753,41.77633727679237
Magé (RJ),70º,1732403.3192160684,0.15662394135889937,41.93296121815127
Ananindeua (PA),71º,1731944.7969827214,0.15658248706324493,42.08954370521452
Itaboraí (RJ),72º,1722657.275683828,0.15574281643045854,42.24528652164498
São José do Rio Preto (SP),73º,1719043.0415994958,0.1554160590403042,42.400702580685284
São José dos Pinhais (PR),74º,1689828.8990736753,0.15277485297987872,42.553477433665165
Diadema (SP),75º,1650586.9633589035,0.14922704943435022,42.70270448309952
Montes Claros (MG),76º,1637175.2899979646,0.14801452050490965,42.850719003604425
Várzea Grande (MT),77º,1605233.6398367416,0.1451267246399019,42.995845728244326
Praia Grande (SP),78º,1599793.505070453,0.14463489035445082,43.14048061859878
Mogi das Cruzes (SP),79º,1596486.5378608964,0.14433591249371813,43.284816531092495
Dourados (MS),80º,1585449.488399933,0.1433380696886539,43.42815460078115
Maricá (RJ),81º,1559944.5546296574,0.141032207533526,43.569186808314676
Ponta Grossa (PR),82º,1543751.8930152676,0.13956825369840847,43.70875506201308
Mauá (SP),83º,1538666.8521312284,0.1391085229091661,43.84786358492225
Caruaru (PE),84º,1527960.2167718844,0.138140552338992,43.98600413726124
Itajaí (SC),85º,1514038.0908695806,0.13688187417396727,44.122886011435206
Guarujá (SP),86º,1511338.8485629486,0.13663783979464117,44.259523851229844
Cascavel (PR),87º,1508973.1200737031,0.13642395789077924,44.39594780912062
Petrolina (PE),88º,1498367.5032907869,0.13546512025599905,44.53141292937662
Bauru (SP),89º,1495627.0276249477,0.13521735803156734,44.66663028740819
Mossoró (RN),90º,1493405.3099258,0.13501649592355383,44.80164678333174
Olinda (PE),91º,1484615.5093937954,0.13422182346604314,44.93586860679778
Rondonópolis (MT),92º,1472794.3813643826,0.13315309331369465,45.06902170011148
Uberaba (MG),93º,1467280.6278453942,0.1326546032691153,45.201676303380594
Cariacica (ES),94º,1425176.8940568198,0.12884806892532494,45.330524372305916
Santa Maria (RS),95º,1415864.4319878488,0.12800614343556224,45.45853051574148
Teresópolis (RJ),96º,1414040.7841679896,0.12784127021809108,45.58637178595957
Nova Friburgo (RJ),97º,1407923.4357087314,0.1272882100757286,45.7136599960353
Foz do Iguaçu (PR),98º,1396816.7850643713,0.12628407473384806,45.83994407076914
Gravataí (RS),99º,1395014.0543275012,0.12612109259794152,45.966065163367084
Camaçari (BA),100º,1372757.931610274,0.12410895049415192,46.09017411386124
